organisation,bias_mean,std,bias_category
PressOnePH,0.31225296442687744,0.9004672856803088,Centre
India Today,0.303620218579235,0.7050701311794935,Centre
NewsMobile,0.2912714997588812,0.7744115121189729,Centre
MindaNews,0.29,0.9022418766829678,Centre
annie lab,0.28173374613003094,0.725237654563518,Centre
FactCheckNI,0.2248062015503876,0.6329513363621538,Centre
VERA Files,0.21480709071949947,0.8266361148169501,Centre
Myth Detector,0.1737841043890866,0.8551055455405735,Centre
The Ferret,0.16129032258064516,0.6424938299560569,Centre
The Dispatch,0.13968957871396895,0.8548348576370427,Centre
DFRAC,0.13763702801461633,0.7775121877325938,Centre
PolitiFact,0.1203699289698241,0.9103362806390742,Centre
Vishvas News,0.10582306830907055,0.6555086292913295,Centre
PA Fact Check,0.10040160642570281,0.5480535934447756,Centre
WebQoof,0.06611290049160874,0.7338421085072906,Centre
THIP Media,0.0005452562704471102,0.09630221214041071,Centre
RMIT ABC,-0.007246376811594203,0.5470074768513702,Centre
AFP Fact Check,-0.026612424781761165,0.6108059323405535,Centre
Grass Fact Check,-0.031938325991189426,0.5144802759054631,Centre
DigitEye India,-0.03768506056527591,0.7532005548867011,Centre
AP News,-0.06043956043956044,0.42266691322044303,Centre
Factly,-0.0735939786744721,0.7419010531249384,Centre
AAP,-0.07937584803256445,0.4067597740287869,Centre
Check Your Fact,-0.08338158656629995,0.3969707511272739,Centre
BOOM,-0.10863309352517986,0.7680168462517254,Centre
FactCheck.org,-0.1432354357246028,0.9328237266079126,Centre
Dubawa,-0.15403128760529483,0.4824231372012238,Centre
TheJournal.ie,-0.16545893719806765,0.47466926766804524,Centre
Snopes,-0.17568591784144308,0.9164748925002788,Centre
Full Fact,-0.17935142289874256,0.6036055416113466,Centre
Africa Check,-0.18397720075997467,0.5964023166556754,Centre
Science Feedback,-0.2444260941370768,0.8458209744225302,Centre
NewsMeter,-0.2605769230769231,0.6068326623639451,Centre
TSML,-0.29949238578680204,0.48091085579059045,Centre
FactCheckZW,-0.3181818181818182,0.5024614736151741,Centre
Lead Stories,-0.3963782696177062,0.845902696976812,Centre
Wisconsin Watch,-0.46421663442940037,0.7133663069295426,Centre
First Check,-0.5024875621890548,0.5571962060749932,Left
USA Today,-0.78125,0.44017042154147534,Left
